date,Froment,Seigle,Orge,Avoine
01 août 1571,6.38,4,2.75,3.6
01 septembre 1571,7.58,5.25,3.25,4
03 octobre 1571,9.38,6.75,4.2,5
03 novembre 1571,8.75,6,4,4.5
01 décembre 1571,8.5,5.25,4,4.4
02 janvier 1572,8.33,5.25,3.75,4.25
01 février 1572,8.25,5.75,3.75,4.25
01 mars 1572,8,5,3.6,4
02 avril 1572,8.33,4.75,3.5,5
03 mai 1572,7.75,4.5,4,4.75
04 juin 1572,8,5,4,5.6
02 juillet 1572,7.5,3.9,3.1,5
02 août 1572,8.58,4.5,3.1,4.8
03 septembre 1572,9.33,5.38,3.75,6
01 octobre 1572,10.25,6.5,4,5.75
05 novembre 1572,9,5.75,4,5
03 décembre 1572,9,6.5,4,6.5
03 janvier 1573,9.25,6.5,4.5,6
04 février 1573,8.75,5.75,3.5,5.5
04 mars 1573,8.88,4.5,4.4,5.25
04 avril 1573,9,5.75,4.75,5.25
02 mai 1573,10.5,6.75,6.4,6.3
03 juin 1573,24,14,12,8.5
01 juillet 1573,20,10.5,8,8
01 août 1573,22.5,10,6.25,9
02 septembre 1573,22,10,7,6.25
03 octobre 1573,21,12.25,8.5,7
04 novembre 1573,19,10.5,8.88,7
02 décembre 1573,17.25,10.5,8.6,6.5
02 janvier 1574,18,10,9,8
03 février 1574,16,10,7.5,7.25
03 mars 1574,17.75,9.5,9.63,7.63
03 avril 1574,17.25,10,10,7.75
01 mai 1574,17,9.5,9,8
02 juin 1574,15,8.5,7.25,7
03 juillet 1574,14,7,6.25,5.5
04 août 1574,12.25,5,3.6,5.25
01 septembre 1574,10,6,4,5.25
02 octobre 1574,9.75,6,4,5.75
03 novembre 1574,7.5,4,3.33,5
01 décembre 1574,8,4.25,2.75,4.75
01 janvier 1575,8,4.5,3.4,5
01 février 1575,7.5,3.75,2.88,5
02 mars 1575,7.75,4.75,3,5.2
02 avril 1575,7.75,4,3,4.6
04 mai 1575,7.63,3.85,3.3,4.6
01 juin 1575,7.75,4,3,4
02 juillet 1575,8.25,4.25,3.25,4
03 août 1575,8.25,3.5,2.75,3.5
03 septembre 1575,6.6,3.25,2.4,3.5
01 octobre 1575,7,3.75,2.5,3.6
02 novembre 1575,6.63,4,2.8,4
03 décembre 1575,7,3.5,2.7,4.25
04 janvier 1576,7.5,4,2.8,4
01 février 1576,7.25,4,2.85,4
03 mars 1576,7.08,3.75,3,4
04 avril 1576,8.15,4.25,3.5,4.25
02 mai 1576,8.5,4,4,4.25
02 juin 1576,8.6,5,4,4.25
04 juillet 1576,8.25,4.5,3.25,4.2
01 août 1576,8.33,4.75,3.2,4.25
01 septembre 1576,9,5,3.5,3.9
03 octobre 1576,10,7.25,4,4
03 novembre 1576,9,6.5,3.75,4.25
01 décembre 1576,9.5,6.38,4,4.4
02 janvier 1577,9.5,6,4,4.2
01 février 1577,8.5,5.25,3.75,3.9
02 mars 1577,9,5.25,3.3,3.5
03 avril 1577,8.75,4,3.3,3.5
01 mai 1577,8,4.75,3.5,3.5
01 juin 1577,8.25,4.75,3.6,3.5
03 juillet 1577,8.33,4.75,3.4,3.6
03 août 1577,7,3.5,2.4,3
04 septembre 1577,7.13,3.25,2.4,3.25
02 octobre 1577,7.67,3.63,2.5,3.63
02 novembre 1577,7.25,4.75,4.1,5
04 décembre 1577,8.75,4.5,3.75,4.5
01 janvier 1578,9,3.75,3.4,4.63
01 février 1578,6.67,3.4,2.75,3.75
01 mars 1578,6.25,3.25,2.6,3.75
02 avril 1578,5.85,3.25,2.4,3.5
03 mai 1578,5.6,3,2.5,4
04 juin 1578,5.4,2.75,2.5,4.5
02 juillet 1578,6,2.75,2.7,4.25
02 août 1578,5.5,3,3.2,4.4
03 septembre 1578,5.75,3.5,3.25,4.4
01 octobre 1578,6.67,3.75,3.25,5
05 novembre 1578,5.63,3.38,3.25,4.8
03 décembre 1578,5.63,3.13,2.88,5
03 janvier 1579,5.75,3,2.9,4.75
04 février 1579,6.1,3,3,4.75
04 mars 1579,5.6,2.75,2.75,4.75
01 avril 1579,5.35,2.75,2.4,4.5
02 mai 1579,5.6,2.9,2.75,4
03 juin 1579,5.25,2.75,2.5,4.25
01 juillet 1579,6,2.5,2.5,4.63
01 août 1579,6,3.25,2.75,4.5
02 septembre 1579,6.5,3.4,2.75,4.6
03 octobre 1579,7.25,4.15,3.25,4.9
04 novembre 1579,6.63,4.5,3.25,4.9
02 décembre 1579,6.38,4,3.2,4.8
02 janvier 1580,6.5,3.63,3,4.6
03 février 1580,6,3.25,2.9,4.5
02 mars 1580,6.5,3.6,3,4.6
02 avril 1580,6.25,3,3.25,4.6
04 mai 1580,6.1,3.5,3.6,5
01 juin 1580,6.35,3.25,3.25,5.2
02 juillet 1580,6.6,3.25,3.25,5.1
03 août 1580,6,3,2.75,4.75
03 septembre 1580,6.25,3.4,2.65,4.5
01 octobre 1580,7,3.5,2.5,4.63
05 novembre 1580,6,3.75,2.5,4
03 décembre 1580,6,3.5,2.5,4.25
04 janvier 1581,5.9,3,2.5,4.75
01 février 1581,5.75,3,2.7,4
01 mars 1581,6.1,2.9,2.5,3.75
01 avril 1581,6.25,2.9,2.75,4.25
03 mai 1581,6,2.75,2.3,3.9
03 juin 1581,6.35,2.75,2.5,4
01 juillet 1581,6.35,3,2.6,4
02 août 1581,6.38,3.5,2.6,3.5
02 septembre 1581,6.5,3.75,2.7,4.6
04 octobre 1581,6.63,4.5,2.75,4.6
04 novembre 1581,6.5,3.5,3,4.8
02 décembre 1581,6.5,3.5,2.75,5.2
03 janvier 1582,6.75,3.5,2.9,4.9
03 février 1582,6.6,3.25,2.9,4.75
03 mars 1582,6.5,3.25,2.8,4.75
04 avril 1582,6.6,3.25,3,4.75
02 mai 1582,6.35,3.5,3,4.8
02 juin 1582,7.5,3.6,3.25,4.8
04 juillet 1582,7.25,3.75,3,5
01 août 1582,7.63,4.5,3.5,4.75
01 septembre 1582,8.25,6,4,5.25
03 octobre 1582,8.33,6,3,4.25
03 novembre 1582,9.25,5.5,4.75,4.6
05 décembre 1582,9.5,6.25,4,4.5
01 janvier 1583,9.5,5.75,4.5,5.25
01 février 1583,10.5,6,4.6,5.25
02 mars 1583,10.38,6.25,5,4.5
02 avril 1583,11.25,7.25,6.38,5.25
04 mai 1583,10.25,6,5.25,5.1
01 juin 1583,10,6,5,5.25
02 juillet 1583,10.5,6,5,5.4
03 août 1583,9.75,6.25,5.25,5.3
03 septembre 1583,10.5,6.75,5,5.25
01 octobre 1583,10.75,8,5.25,6.25
02 novembre 1583,10.25,8.25,5.75,6.25
03 décembre 1583,10.5,7,5.25,6.4
04 janvier 1584,10.5,7,5.5,7
01 février 1584,10.5,6.25,6,7.25
03 mars 1584,10.25,6.5,5.25,6.8
04 avril 1584,9.5,5.75,5.5,6.25
02 mai 1584,9.17,5.25,5,5.6
02 juin 1584,9,5.25,5.25,6.5
04 juillet 1584,8.5,4.5,4.75,6.1
01 août 1584,8.5,4,4,5
01 septembre 1584,8.6,4,3,4.75
03 octobre 1584,9,4.5,3.75,5.63
03 novembre 1584,8.33,4.5,3.38,5.75
01 décembre 1584,7.75,3.75,3,5
02 janvier 1585,7.5,4.25,3,4.8
01 février 1585,7,3.5,3,5
02 mars 1585,7.25,3.75,3,5
03 avril 1585,8.75,5,3.25,6.25
01 mai 1585,7,3.75,3.25,4.8
01 juin 1585,7,3.75,3.5,4.75
03 juillet 1585,8,4.25,4,4.75
03 août 1585,8.32,3.75,3.5,4.5
04 septembre 1585,8.88,4,3,4.6
02 octobre 1585,9.25,4.75,3.5,4.5
02 novembre 1585,10.25,5.75,4.25,5
04 décembre 1585,10.63,5.25,3.75,5
01 janvier 1586,10.25,5,4.5,5.25
01 février 1586,10.75,6,3.75,4.75
01 mars 1586,10.75,6.75,4.5,4.63
02 avril 1586,12.5,7.25,7,6
03 mai 1586,15,9,8,6.75
04 juin 1586,16.75,10.63,9,8
02 juillet 1586,16.5,12,9,8
02 août 1586,17,10,7,8
03 septembre 1586,16,10,7,6
01 octobre 1586,18,16,10,7.25
05 novembre 1586,18,15,11,8
03 décembre 1586,17.75,13.5,10.25,7.75
03 janvier 1587,17.5,12.75,10.75,8
04 février 1587,17,13,11.5,7.5
04 mars 1587,18.5,12.5,12,8
01 avril 1587,20.5,15,14,9.25
02 mai 1587,23,17,15.75,10.5
03 juin 1587,27,21,18.5,11.5
01 juillet 1587,30.5,22,15.5,13
01 août 1587,36,13,10,14
02 septembre 1587,14,10,6.5,9
03 octobre 1587,15,10,6.5,8
04 novembre 1587,14.75,10,6.25,9
02 décembre 1587,13,9,7,9.75
02 janvier 1588,12.13,7,5.75,10
03 février 1588,9.75,7,5,8.5
02 mars 1588,9.75,6.5,5.25,8
02 avril 1588,8.13,4.25,4,6.25
04 mai 1588,7.5,4.25,3.5,4.75
01 juin 1588,6.75,4,3,5
02 juillet 1588,7,4,3,5.5
03 août 1588,7.75,3.75,3,4.25
03 septembre 1588,7.88,4.38,3.13,5
01 octobre 1588,7.75,4.75,3.13,5.75
02 novembre 1588,7.13,4.5,3.5,5
03 décembre 1588,7.25,4,3,5.25
04 janvier 1589,9,4.5,3.5,5.25
01 février 1589,7.38,4.25,3,4.5
01 mars 1589,7.5,4.25,2.75,4.75
01 avril 1589,7.38,3.75,3,5
03 mai 1589,9.5,6.25,4.5,5.6
03 juin 1589,9.5,6,4.25,6.25
01 juillet 1589,11,6.25,4,6.25
02 août 1589,12,7.25,5.5,6.5
02 septembre 1589,12.75,8,6,5.38
04 octobre 1589,13.5,8.5,5.5,6
04 novembre 1589,15.5,10.5,6.25,8
02 décembre 1589,17.5,12,8.75,7
03 janvier 1590,17,11.5,9,7.75
03 février 1590,16.5,11,9,7.5
03 mars 1590,16.5,13,10,7.5
04 avril 1590,20,14,12,8.5
02 mai 1590,30,20,16,8
02 juin 1590,24,18,,7.5
04 juillet 1590,,,,8.75
01 septembre 1590,90,42,36,16
03 octobre 1590,26,16,12,15
03 novembre 1590,24,15,14,17
01 décembre 1590,31.5,18.5,14,18
02 janvier 1591,45,22.5,25.5,25.5
02 février 1591,42,30,24,27
02 mars 1591,42,30,24,25
03 avril 1591,36,21,19,19
01 mai 1591,38,,16,16.25
05 juin 1591,36,,21,18
03 juillet 1591,28.5,20,16,17
03 août 1591,22.5,12,10,12
04 septembre 1591,22.5,16,11,12
02 octobre 1591,24,18,12,12
02 novembre 1591,24,19,12,13
04 décembre 1591,24,12,13,18
04 janvier 1592,22,12,9.5,14
01 février 1592,20,11,11,11
04 mars 1592,20,11,9,10
04 avril 1592,19,10,9.25,10
02 mai 1592,20,9,6.5,8
03 juin 1592,20,12,7.5,9
01 juillet 1592,19,11,8,8
01 août 1592,18,9.5,6.5,7
02 septembre 1592,18,10.25,6.6,7.35
03 octobre 1592,18,13,8,8
04 novembre 1592,18,12.25,7,9
02 décembre 1592,18,12,12,9
02 janvier 1593,18,11,9,10
03 février 1593,18,11.75,9,10
03 mars 1593,18,13.25,10,10
03 avril 1593,18,,11,10.5
01 mai 1593,29,16.5,14,10.5
02 juin 1593,26,15,13,11
03 juillet 1593,23,15,11,10.5
04 août 1593,21,10,7,10
01 septembre 1593,16.5,9.5,6,9
02 octobre 1593,15.5,9.25,6,9
03 novembre 1593,14.75,9.5,6,9.5
01 décembre 1593,15.5,9,6.5,8
05 janvier 1594,18,10,7,9.25
01 février 1594,20.5,11.5,8,9.5
02 mars 1594,20,11.5,9,11.5
02 avril 1594,13.75,7,5,8
04 mai 1594,15,8,5,7
01 juin 1594,13.25,7.5,6,7
02 juillet 1594,13,6.5,4.5,6.75
03 août 1594,13.5,6.5,6,6.5
03 septembre 1594,13.75,6.5,4,6
01 octobre 1594,13.5,9,4.5,6.5
02 novembre 1594,13.75,9.5,5.25,7
03 décembre 1594,13.5,9.25,6.5,7
04 janvier 1595,14.75,11,7.5,7.5
01 février 1595,17.5,10.5,8.5,8
01 mars 1595,19.5,13,9.25,8.5
01 avril 1595,18,12.5,9.5,8.75
03 mai 1595,19.25,13,12.5,9.5
03 juin 1595,23.5,16,14,11
01 juillet 1595  ,18.25,11,9.5,10
02 août 1595,17.75,10,9.5,9.5
02 septembre 1595,15.5,9,6.75,7.5
04 octobre 1595,16.5,13,8.5,8.75
04 novembre 1595,16.63,13,9,9
02 décembre 1595,16.5,11.5,9.5,9.5
03 janvier 1596,17,12.5,10,9.5
03 février 1596,19,13.5,11,10.25
02 mars 1596,21.63,15,12.5,11.75
03 avril 1596,19,13.5,9.5,10.5
01 mai 1596,15,9.5,7.75,8.5
01 juin 1596,15,9,8,8.5
03 juillet 1596,18,12,10.5,9
03 août 1596,28.5,9,7,9
04 septembre 1596,17,8,5,6
02 octobre 1596,16,10,5.75,6.5
02 novembre 1596,15.75,8.5,5.25,7.25
04 décembre 1596,17,9,5.6,7.5
01 janvier 1597,17.5,8,6,7.5
01 février 1597,18,9.25,7,8
01 mars 1597,19,11.5,8.5,9.25
02 avril 1597,20,12,8.5,9.5
03 mai 1597,20,13,9.5,9.5
04 juin 1597,20.5,14,12,11.25
02 juillet 1597,20,14,11.75,11.75
02 août 1597,19,9,6,12
03 septembre 1597,16,9,6.5,8.75
01 octobre 1597,15.75,9,6,12
05 novembre 1597,16.5,12,8.25,9.75
03 décembre 1597,16.75,12,8.5,9.5
03 janvier 1598,16.63,12,8.5,9.5
04 février 1598,17,12,8.5,9.5
04 mars 1598,17,11.75,8.25,10
01 avril 1598,16,10.5,7.75,8.75
02 mai 1598,16.25,11.5,8,9.25
03 juin 1598,14.63,9.5,7.25,8.25
01 juillet 1598,14,8.5,6,6
01 août 1598,13.75,7,5,5.38
02 septembre 1598,14,7,5.5,5.75
03 octobre 1598,14.5,7.75,5,6.5
04 novembre 1598,11.25,6.25,4.75,6
02 décembre 1598,12.25,5.5,5,6.25
02 janvier 1599,12,5.5,4.5,5.5
03 février 1599,12,5,4,5.75
03 mars 1599,11.63,5,4.5,5.25
03 avril 1599,10,4,3,5.25
01 mai 1599,10,4.5,3.25,5.5
02 juin 1599,9.38,3.63,3.25,5.5
03 juillet 1599,9.5,3.38,3.25,5.25
04 août 1599,9.25,4,3,5.63
01 septembre 1599,8.63,4.25,3.75,4.75
02 octobre 1599,9,4,3.25,5
03 novembre 1599,7.75,4,4.25,4.5
01 décembre 1599,8.75,3.75,3.25,4.75
01 janvier 1600,9,4.5,3.25,5.25
01 février 1600,8,4,3.25,4.75
01 mars 1600,9.5,3.75,3,5.38
01 avril 1600,9,3.75,3,4.75
03 mai 1600,8.75,4,3.5,5.25
03 juin 1600,9,4.5,3.3,5.5
01 juillet 1600,8.5,4.25,3.5,6.25
02 août 1600,8.5,3.5,3,5.5
02 septembre 1600,8,4,3.25,6.25
03 octobre 1600,8.1,4.25,4,7.5
04 novembre 1600,8.25,4.5,4.5,7.25
02 décembre 1600,7.5,4,4.25,6.88
03 janvier 1601,7.13,4.25,4,7
03 février 1601,8,3.5,3.5,6.5
03 mars 1601,7.75,3.6,3.5,6.5
04 avril 1601,9,4.5,4.25,6.25
02 mai 1601,8,4,4,6
02 juin 1601,8.38,4.5,4.25,6.75
04 juillet 1601,8.13,4,3.63,5.88
01 août 1601,8,3.25,3.13,4.5
01 septembre 1601,8.25,4,3,4.5
03 octobre 1601,8.25,5,3.13,4.5
03 novembre 1601,7.38,4,3.5,4.38
01 décembre 1601,7.25,4.25,3.5,5.75
02 janvier 1602,8.25,4,3.25,4.75
01 février 1602,7.75,4,3.25,4.5
02 mars 1602,7.75,4.25,3.25,4.5
03 avril 1602,7.25,3,3.13,4.25
01 mai 1602,6.5,3,3,3.75
01 juin 1602,6.5,2.88,2.9,4
03 juillet 1602,7,3.25,3,5
03 août 1602,7,3,2.75,4.75
04 septembre 1602,8,3.75,2.75,4
02 octobre 1602,9,4,3.25,5
02 novembre 1602,8.25,4.5,3.5,4.5
04 décembre 1602,9.5,5.13,3.38,4.38
01 janvier 1603,9.75,5,4.13,4.25
01 février 1603,9.25,4.13,3.6,4.5
01 mars 1603,9.75,4.63,3.75,4.25
02 avril 1603,9.6,4.5,4,4.4
03 mai 1603,9.25,5.25,4.13,4.63
04 juin 1603,10.5,6.75,5.75,6
02 juillet 1603,10.5,5.5,5,7.5
02 août 1603,9.75,6,6,7.25
03 septembre 1603,9.88,6,5.5,7.5
01 octobre 1603,10.75,6.5,5.5,8.4
05 novembre 1603,10,5.25,5.5,7.75
03 décembre 1603,11,6.25,5.5,8.25
03 janvier 1604,10.5,5.5,5.5,8
04 février 1604,10.5,5.88,5.25,7.5
03 mars 1604,10,5.5,5.13,7.25
03 avril 1604,10.13,5.5,4.75,7.25
01 mai 1604,8.63,5.5,4.5,6.5
02 juin 1604,8.75,3.75,3,5.38
03 juillet 1604,8.5,4,3,5.5
04 août 1604,8.31,3.5,2.75,5.8
01 septembre 1604,7.88,3.5,2.75,4.75
02 octobre 1604,8.63,3.75,3.25,5
03 novembre 1604,8,4.25,3.5,5.25
01 décembre 1604,8.75,4.5,3.3,5.25
01 janvier 1605,8.75,4,3.25,5
01 février 1605,8.13,3.25,3.2,5
02 mars 1605,8.75,3.38,3.25,4.88
02 avril 1605,8.5,3.25,3.38,5
04 mai 1605,8.5,3.75,4,5
01 juin 1605,8.38,3.38,3.5,5
02 juillet 1605,8.25,3.13,3.25,5.13
03 août 1605,8.25,3.13,3.13,5
03 septembre 1605,8.38,3.38,3,4.38
01 octobre 1605,8.25,3.5,3.25,4.5
02 novembre 1605,8.25,3.75,3,4.6
03 décembre 1605,9.75,3.5,2.9,4.5
04 janvier 1606,8.63,3.5,3.13,4.63
01 février 1606,8.5,3,2.75,4.5
01 mars 1606,8.5,3.13,3,4.25
01 avril 1606,8.5,3.5,3.13,3.8
03 mai 1606,8.38,3.13,2.9,4
03 juin 1606,8,3.13,2.75,4.2
01 juillet 1606,8.5,3.13,2.63,4.25
02 août 1606,8.75,3.38,2.75,4.2
02 septembre 1606,8.88,3.75,2.75,3.75
04 octobre 1606,9,5,3,4
04 novembre 1606,8.38,5,3,4.25
02 décembre 1606,8.25,4.5,3.2,4.25
03 janvier 1607,8.88,4.5,3,4.25
03 février 1607,9.25,4,3.35,4
03 mars 1607,9.25,4.5,3,4.25
04 avril 1607,9.5,5,3.4,3.88
02 mai 1607,8.75,4,3.25,4
02 juin 1607,8.25,4.13,3.2,4
04 juillet 1607,8.75,4.25,3.25,3.88
01 août 1607,9,3.75,3,4.5
01 septembre 1607,8.25,3.75,3.13,3.75
03 octobre 1607,9.75,5,3.38,4
03 novembre 1607,8.5,6.5,3.5,3.75
01 décembre 1607,8.63,4.5,3.75,4
02 janvier 1608,9.5,4.5,3.95,5
01 février 1608,9.5,5,4,4.63
01 mars 1608,10,5.5,4.75,4.25
02 avril 1608,10,5.25,4.5,4.25
03 mai 1608,11.25,6.25,5.25,5.25
04 juin 1608,14.25,7.5,6,4.75
02 juillet 1608,13.25,7.5,6,4.75
02 août 1608,12.5,6.13,6.38,4.75
03 september 1608,13.5,8.5,5,5
01 octobre 1608,16,9,5.5,5.25
05 novembre 1608,14,8.5,5.38,5.25
03 décembre 1608,14,8.75,5,5.63
03 janvier 1609,14.1,9.5,5.38,6.5
04 février 1609,14.25,7.75,5.25,6.25
04 mars 1609,13,7.5,5.25,5.75
01 avril 1609,12.5,6.5,5.75,5.5
02 mai 1609,11,6,5.2,5.25
03 juin 1609,10.25,5,4.75,5
01 juillet 1609,10.13,5.25,4,5.25
01 août 1609,9.38,4.75,4.25,5.5
02 septembre 1609,9.75,4.5,3.25,4.6
03 octobre 1609,10.5,5,4,5.75
04 novembre 1609,9.25,5,3.6,5.65
02 décembre 1609,9.75,5.25,4.13,5.6
02 janvier 1610,9.38,4.75,3.75,5.75
03 février 1610,9.63,4.75,4,7
03 mars 1610,9.5,4.5,3.75,5.5
03 avril 1610,9.25,5,3.8,6.5
01 mai 1610,9,4,3.5,5.75
02 juin 1610,8.88,4.25,3.38,6.63
03 juillet 1610,9.13,4.5,3.5,6.5
04 août 1610,9.25,4,3.25,6.6
01 septembre 1610,9.5,3.75,3.75,7.5
02 octobre 1610,10,4.25,4.25,7
03 novembre 1610,11,5.13,4,8
01 décembre 1610,9.25,5.25,4,8
01 janvier 1611,9.75,6.38,3.75,7.5
01 février 1611,9.13,4.25,4.63,7.5
02 mars 1611,10,4.25,3.75,7.25
02 avril 1611,9.5,4.5,3.75,7.25
04 mai 1611,8.5,4,3.5,7
01 juin 1611,12,6.5,5.25,8
02 juillet 1611,10.25,6.5,5.25,8
03 août 1611,9.5,5.25,4.25,7.75
03 septembre 1611,9.5,4.5,4,7
01 octobre 1611,11,5.5,4.25,7.25
02 novembre 1611,9.13,5.5,4,7.25
03 décembre 1611,9.5,5.38,4.5,7.13
04 janvier 1612,9.5,5.75,4,7.6
01 février 1612,10.13,5.25,4.31,8
03 mars 1612,10.13,5.38,4.5,7
04 avril 1612,10.5,6,5.25,7.25
02 mai 1612,10,5.75,5.5,7.5
02 juin 1612,9.65,5.25,4.75,7.4
04 juillet 1612,9.31,4.75,4,6.6
01 août 1612,9.38,4.5,4.5,7.5
01 septembre 1612,9.38,4.25,4.5,6.75
03 octobre 1612,10.5,4.5,4,7.25
03 novembre 1612,9.5,4.75,4.5,7.4
01 décembre 1612,9,4.5,4,7.38
02 janvier 1613,9.25,4.25,4.5,7.5
01 février 1613,8.75,4.25,4,7.5
02 mars 1613,9.25,4,3.75,7
03 avril 1613,9,4.25,4,7.3
01 mai 1613,8.5,4.25,3.5,7
01 juin 1613,8.25,4.13,3.75,7.25
03 juillet 1613,8.75,4.25,3.5,6.75
03 août 1613,8.88,4,3.25,6.35
04 septembre 1613,9,5,3.75,5.5
02 octobre 1613,9.88,5.25,3.5,5
02 novembre 1613,8.5,5.25,4,5.38
04 décembre 1613,9,5,3.75,5.5
01 janvier 1614,9.25,5,3.7,5.5
01 février 1614,9.25,4.75,3.65,5.25
01 mars 1614,9.5,4.5,3.5,4.75
02 avril 1614,9,5,4,5.6
03 mai 1614,10.25,5.75,4.5,5.5
04 juin 1614,10.38,6,5.75,6
02 juillet 1614,10,5.75,5.5,5.75
02 août 1614,10,5.25,5.25,5.75
03 septembre 1614,9.5,5.5,4.5,5.5
01 octobre 1614,10,5.63,4.5,6
05 novembre 1614,9.5,5.5,4.75,6
03 décembre 1614,9.5,5.5,4.63,6.6
03 janvier 1615,9.13,4.75,4.75,6
04 février 1615,9,5.5,4.75,6
04 mars 1615,9,5.25,4.6,5.75
01 avril 1615,9,5,4.75,7
02 mai 1615,8.5,5,4.75,6.4
03 juin 1615,8.63,4.5,5.5,6.25
01 juillet 1615,8.5,6,6.25,8.75
01 août 1615,9.13,5.5,5.25,8
02 septembre 1615,9.75,5.5,5.38,8.5
03 octobre 1615,11.63,6.5,6,8.5
04 novembre 1615,9.38,6.5,5.6,9
02 décembre 1615,9.13,5.6,5.3,8.75
02 janvier 1616,9.25,6.5,5.25,8.75
03 février 1616,9.38,6.13,5.75,8.4
02 mars 1616,9.25,6.5,5.88,8.75
02 avril 1616,9.25,5.5,5.8,8.4
04 mai 1616,8.5,5.5,5.5,8
01 juin 1616,9,4.5,5,6
02 juillet 1616,7.75,3.25,4.5,5.5
03 août 1616,8.25,3.5,3.75,5.25
03 septembre 1616,9.6,3.88,3.25,5
01 octobre 1616,9.38,4,3.5,5
02 novembre 1616,8.79,4,3.25,5.25
03 décembre 1616,9.5,4.25,3.31,4.75
04 janvier 1617,10.25,4.75,3.55,4.75
01 février 1617,10,4.75,3.25,4.75
01 mars 1617,10.75,5.5,3,5
01 avril 1617,10.38,4.25,3,4.75
03 mai 1617,10,4.75,3,5.75
03 juin 1617,10,4.5,3.25,5.5
01 juillet 1617,10.25,4.6,3,5.4
02 août 1617,10.63,4.13,3.25,5
02 septembre 1617,11.5,5,3.13,5
04 octobre 1617,12,6,3.5,5.25
04 novembre 1617,15,6.5,4.25,6.25
02 décembre 1617,14.5,7.5,4.25,6.13
03 janvier 1618,14.5,7,4.5,6.75
03 février 1618,14,7.6,4.75,7
03 mars 1618,14.5,8,4.9,7
04 avril 1618,15.5,7,5.5,7
02 mai 1618,16.25,10,6.6,7.75
02 juin 1618,14.75,7.25,5.75,7.25
04 juillet 1618,15.15,8.5,5,7.25
01 août 1618,15,5.75,5,7
01 septembre 1618,13.5,6.75,4.5,6.75
03 octobre 1618,12.75,7.4,4.5,6
03 novembre 1618,13,8.25,4.75,6.75
01 décembre 1618,11.75,7.13,4.5,6.5
02 janvier 1619,11.88,6.88,4.3,6.5
01 février 1619,10.63,6.5,4.3,6
02 mars 1619,11.5,6.25,3.88,6.88
03 avril 1619,11,6.38,4,6.25
01 mai 1619,10.63,6.5,4,6.25
01 juin 1619,10.63,5.75,3.38,6
03 juillet 1619,10.13,4.75,3,6
03 août 1619,9.63,6.25,3.5,6.25
04 septembre 1619,9.5,4.5,3.25,5.63
02 octobre 1619,10,4.5,3.75,6
02 novembre 1619,8.25,4.5,3.5,6.25
04 décembre 1619,8.38,4.13,3.4,5.75
01 janvier 1620,8.13,4.25,3.5,5.75
01 février 1620,9,4,3.5,6
04 mars 1620,9,3.63,3.63,6
01 avril 1620,9,3.5,3.35,6.5
02 mai 1620,9,3.63,3.75,6.25
03 juin 1620,8.88,3.75,3.75,6.5
01 juillet 1620,9,4,3.5,6.9
01 août 1620,10,3.88,3.25,6
02 septembre 1620,9.63,4.25,3.25,5.5
03 octobre 1620,12,4.88,3.25,6.6
04 novembre 1620,9.5,4.75,3.5,5.25
02 décembre 1620,9.5,4.63,4.5,5.38
