date,Froment,Seigle,Orge,Avoine
02 septembre 1531,4.38,3,2.13,1.75
07 octobre 1531,5.25,4,2.5,2.5
04 novembre 1531,5.25,4,3.13,2
02 décembre 1531,5.5,3.56,2.94,2.13
06 janvier 1532,5.25,3.5,3,2.25
03 février 1532,4.63,3,2.5,2.06
02 mars 1532,5.19,2.94,3,2
06 avril 1532,4.75,3,3,2
04 mai 1532,4.25,3.5,2.75,2
01 juin 1532,4,2.44,2,2.25
06 juillet 1532,3.5,2,1.25,1.66
03 août 1532,2.75,1.75,1,1.5
07 septembre 1532,2.63,1.56,1,1.56
05 octobre 1532,3,2.06,1.06,1.75
02 novembre 1532,2.63,1.88,1.13,1.63
07 décembre 1532,2.88,1.88,1.19,1.81
04 janvier 1533,2.88,1.75,1.13,1.69
01 février 1533,2.5,1.25,0.81,1.5
01 mars 1533,2.5,1.5,1,1.44
05 avril 1533,2,1.06,0.88,1.5
03 mai 1533,2.13,1.38,0.94,1.56
07 juin 1533,2.25,1.25,1,1.59
05 juillet 1533,2.44,1,0.81,1.5
 2 août 1533,2.5,1.13,0.75,1.38
06 septembre 1533,2.25,1.25,0.69,1.13
04 octobre 1533,2.38,1.38,0.75,1.44
05 novembre 1533,2.13,1.38,0.94,1.25
06 décembre 1533,2.17,1,0.81,1.13
03 janvier 1534,2.1,1,0.81,1.25
07 février 1534,2.06,1.06,0.81,1.25
07 mars 1534,2.06,1,0.75,0.81
04 avril 1534,2,0.81,0.81,1.13
02 mai 1534,1.75,1,0.69,1.19
06 juin 1534,2,0.88,0.75,1.31
04 juillet 1534,2,1,0.81,1.56
01 août 1534,2,0.88,0.88,2
05 septembre 1534,2,1.06,0.94,1.56
03 octobre 1534,2.13,1.13,0.94,1.63
07 novembre 1534,1.88,1,1,1.75
05 décembre 1534,1.94,1,1,1.56
02 janvier 1535,1.94,1.06,0.94,1.75
06 février 1535,2,1.06,1.13,1.88
06 mars 1535,1.88,0.94,1,1.69
03 avril 1535,1.69,1.06,1.06,1.63
01 mai 1535,1.69,1,0.94,1.63
05 juin 1535,1.75,1,1,1.44
03 juillet 1535,2,1.19,1,1.25
07 août 1535,2.13,1,0.75,1.13
04 septembre 1535,2.5,1.44,1,1.25
02 octobre 1535,2.75,1.63,1.06,1.25
06 novembre 1535,3.08,1.75,1.31,1.38
04 décembre 1535,2.88,1.69,1.31,1.25
01 janvier 1536,2.92,1.75,1.31,1.31
05 février 1536,2.98,1.75,1.38,1.19
04 mars 1536,3.44,2.13,1.56,1.25
01 avril 1536,3.35,2.06,1.56,1.31
06 mai 1536,3.13,1.88,1.44,1.63
03 juin 1536,3.13,1.88,1.5,1.56
01 juillet 1536,3.15,1.69,0.94,1.5
05 août 1536,3,1.88,1.25,1.44
02 septembre 1536,3,1.75,1.06,1.19
07 octobre 1536,2.56,1.94,1.25,1.44
04 novembre 1536,2.69,1.88,1.19,1.38
02 décembre 1536,2.63,1.75,1.25,1.31
06 janvier 1537,2.67,1.94,1.31,1.41
03 février 1537,2.69,1.88,1.25,1.31
03 mars 1537,2.69,1.63,1.25,1.42
07 avril 1537,2.63,1.88,1.25,1.38
05 mai 1537,2.38,1.38,1.13,1.31
09 juin 1537,2.1,1.31,1,1.5
07 juillet 1537,2.06,1.13,1.06,1.56
01 août 1537,2.13,1.25,0.94,1.88
01 septembre 1537,1.85,1.06,0.81,1.5
06 octobre 1537,2,1.13,0.94,1.6
03 novembre 1537,1.75,1.13,1,1.63
01 décembre 1537,2.02,1.13,1,1.5
05 janvier 1538,1.98,1.06,0.94,1.56
01 février 1538,1.77,1,1,1.47
02 mars 1538,1.92,1.13,0.81,1.56
06 avril 1538,1.75,0.94,0.81,1.31
04 mai 1538,2.03,1.13,1,1.5
01 juin 1538,1.94,1,0.88,1.38
06 juillet 1538,2.38,1.38,1.06,1.38
03 août 1538,2.5,1.5,1.06,1.44
07 septembre 1538,2.38,1.38,0.94,1.5
05 octobre 1538,2.88,1.81,1.13,1.56
02 novembre 1538,2.54,1.69,1.25,1.5
07 décembre 1538,3.25,2,1.69,1.75
04 janvier 1539,3.42,2.44,1.88,1.88
01 février 1539,3.13,2.06,1.63,1.75
01 mars 1539,3.25,2.13,1.81,1.81
05 avril 1539,3.38,2.5,2.25,2.25
03 mai 1539,4.13,2.63,2.5,3.5
07 juin 1539,3.75,2.5,2.06,3.25
05 juillet 1539,3.33,1.75,1.13,2.75
02 août 1539,3.08,1.88,1.25,2
06 septembre 1539,2.67,1.69,1.13,1.75
04 octobre 1539,2.79,1.88,1.5,2.13
05 novembre 1539,2.75,1.94,1.5,2.25
06 décembre 1539,2.94,1.94,1.38,2.38
03 janvier 1540,2.92,2.06,1.5,2.19
07 février 1540,2.66,1.63,1.25,1.81
06 mars 1540,2.5,1.63,1.13,1.69
03 avril 1540,2.38,1.5,1.13,1.56
01 mai 1540,2.04,1.25,1.06,1.56
05 juin 1540,2.04,1,0.81,1.44
03 juillet 1540,2,1.13,0.81,1.31
07 août 1540,2.08,1.13,1,1.5
04 septembre 1540,2.13,1.25,0.88,1.56
02 octobre 1540,2.58,1.5,1.19,1.81
06 novembre 1540,2.5,1.44,1.19,1.94
04 décembre 1540,2.5,1.44,1.25,1.63
01 janvier 1541,2.38,1.44,1.13,1.56
05 février 1541,2.44,1.38,1.13,1.75
05 mars 1541,2.38,1.25,1.25,1.56
02 avril 1541,2.33,1.38,1.13,1.69
07 mai 1541,2.25,1.13,1.06,1.69
04 juin 1541,2.42,1.5,1.31,1.75
02 juillet 1541,2.56,1.31,1.06,1.81
06 août 1541,2.5,1.56,1.19,1.63
03 septembre 1541,2.67,1.44,1.06,1.5
01 octobre 1541,2.75,1.56,1.13,1.56
05 novembre 1541,3,2,1.38,1.63
03 décembre 1541,3.06,1.88,1.44,1.63
07 janvier 1542,3,1.69,1.31,1.63
04 février 1542,3,1.38,1.25,1.56
04 mars 1542,3,1.75,1.25,1.63
01 avril 1542,2.92,1.56,1.31,1.56
06 mai 1542,3,1.5,1.25,1.63
03 juin 1542,3.13,1.88,1.29,1.63
01 juillet 1542,3,1.56,1.31,1.63
05 août 1542,3.08,1.38,0.94,1.5
02 septembre 1542,2.88,1.38,0.88,1.44
07 octobre 1542,2.75,1.44,1,1.31
04 novembre 1542,2.5,1.44,1.13,1.44
02 décembre 1542,2.5,1.5,1.13,1.39
06 janvier 1543,2.5,1.5,1.06,1.38
03 février 1543,2.38,1.31,1,1.5
03 mars 1543,2.42,1.19,0.88,1.38
07 avril 1543,2.4,1.31,1.06,1.44
05 mai 1543,2.29,1.38,1,1.44
02 juin 1543,2.33,1.44,1,1.44
07 juillet 1543,2.56,1.38,1,1.38
04 août 1543,2.67,1.38,0.94,1.5
01 septembre 1543,2.88,1.63,1.25,1.75
06 octobre 1543,3.08,2.19,1.63,1.88
03 novembre 1543,3.38,2.25,1.69,2.13
01 décembre 1543,3.63,2.38,1.69,2.31
05 janvier 1544,3.42,2.25,1.75,2.06
01 février 1544,3.42,2.25,1.75,2.19
01 mars 1544,3.67,2.44,1.88,2.13
05 avril 1544,3.75,2.75,2.08,2.29
03 mai 1544,3.75,2.5,1.75,2.25
07 juin 1544,3.5,2.5,1.81,2.31
05 juillet 1544,3.5,2.5,1.5,2.56
02 août 1544,3.46,2.25,1.5,2.31
06 septembre 1544,3.71,2.38,1.56,1.94
04 octobre 1544,4.38,3,2,2.19
05 novembre 1544,4.5,3,2.38,2.75
06 décembre 1544,4.42,2.75,2,2.5
03 janvier 1545,4.29,2.94,2.25,2.31
07 février 1545,4.17,2.88,2,2.15
07 mars 1545,4,2.63,1.63,2
04 avril 1545,3.75,2.31,1.5,1.75
02 mai 1545,3.58,2,1.25,1.75
06 juin 1545,4.08,2.69,1.81,2
04 juillet 1545,4.13,2.63,1.56,2
01 août 1545,4.5,3,1.69,1.9
05 septembre 1545,4.58,2.88,1.63,2
03 octobre 1545,5.13,3.5,1.88,2.13
07 novembre 1545,5.63,3.5,2.19,2.25
05 décembre 1545,5.38,3.38,2.38,2.31
02 janvier 1546,5.58,3.5,2.63,2.31
06 février 1546,5.5,3.75,2.88,2.25
06 mars 1546,6.5,4.63,4.13,2.69
03 avril 1546,7.75,5.75,4.88,4.06
01 mai 1546,7.5,5.5,4.25,3.88
05 juin 1546,9.5,8,6.25,4.56
03 juillet 1546,9,5,2.88,4.25
07 août 1546,5.75,2.25,1.88,3
04 septembre 1546,4.5,2.25,1.63,2.25
02 octobre 1546,4.5,2.63,1.69,2.5
06 novembre 1546,3.5,2.13,1.63,2.5
04 décembre 1546,3.38,2,1.5,2.38
05 mars 1547,2.79,1.38,1.19,2.13
02 avril 1547,2.38,1.25,1,1.69
07 mai 1547,2.5,1.25,1,1.88
04 juin 1547,2.29,1.25,1.25,2.13
02 juillet 1547,2.44,1.25,1.31,2.29
06 août 1547,2.44,1.38,1.5,2.38
03 septembre 1547,2.25,1.25,1.25,2.38
01 octobre 1547,2.56,1.38,1.44,2.38
05 novembre 1547,2.44,1.44,1.38,2.5
03 décembre 1547,2.67,1.44,1.38,2.38
07 janvier 1548,2.67,1.5,1.38,2.25
04 février 1548,2.75,1.38,1.5,2.25
03 mars 1548,2.67,1.38,1.4,2.4
07 avril 1548,2.63,1.5,1.38,2.06
05 mai 1548,2.83,1.38,1.5,2
02 juin 1548,2.9,1.63,1.5,2.19
07 juillet 1548,2.75,1.5,1.44,1.63
04 août 1548,2.83,1.38,0.94,1.63
01 septembre 1548,2.75,1.44,1.25,1.63
06 octobre 1548,2.79,1.75,1.38,2.06
03 novembre 1548,2.75,1.75,1.5,2.13
01 décembre 1548,2.92,1.88,1.31,1.94
