Origine socioprofessionnelle (PCS) ;Droit ;Économie;Lettres ;Sciences et STAPS;Santé ;IUT 
Agriculteurs ;3094;3337;9914;8090;2416;4034
Artisans, comm., chefs d'entreprise ;15361;12118;32793;21382;7969;9470
Prof. libérales, cadres supérieurs ;61790;41104;126512;109537;55001;27676
Professions intermédiaires ;23898;20472;81448;56817;15723;21913
Employés ;20499;16991;59669;34316;7459;15727
Ouvriers ;15448;16848;56011;32756;6459;18372
Retraités, inactifs ;14472;12576;43769;20194;6183;6945
Indéterminé ;13432;10232;47305;25245;24787;4613
