nbouvr	chiffreaffaires
16	18
8	14
30	26
15	25
6	14
11	23
10	21
16	31
20	30
9	15
15	17
10	11
16	23
9	19
18	28
16	25
11	21
8	20
10	15
10	18
22	37
11	24
11	14
16	16
16	27
8	16
10	16
11	18
30	45
16	24
12	20
